VR1,VR2,VR3,VR4,VR5,VR7,VR8,VR9,VR10,VR11,VR12,VR13,VR14,VR16,P1,P2,P3,N1,N2,N3
X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
X,X,X,X,X,X,X,X,X,X,X,P,X,X,X,X,X,X,X,X
X,X,X,X,X,X,X,X,X,X,X,P,X,X,X,X,X,X,X,X
X,X,X,X,X,X,X,X,X,X,X,P,X,X,X,X,X,X,X,X
X,X,X,X,X,X,X,X,X,X,P,P,X,X,X,X,X,X,X,X
X,X,X,X,X,X,X,X,X,X,P,P,X,X,X,X,X,X,X,X
X,X,X,X,X,X,X,X,X,X,P,P,P,X,X,X,X,X,X,X
X,X,X,X,X,X,X,X,X,X,P,P,P,X,X,X,X,X,X,X
X,X,X,X,X,X,X,X,X,P,P,P,P,X,X,X,X,X,X,X
X,X,X,X,X,X,P,X,X,P,P,P,P,X,X,X,X,P,X,X
X,X,X,X,X,X,P,X,X,P,P,P,P,X,X,X,X,P,X,X
X,X,X,X,X,X,P,X,X,P,P,P,P,X,X,X,X,P,X,X
X,X,X,X,X,X,P,X,P,P,P,P,P,X,X,X,X,P,P,X
P,X,X,X,P,X,P,X,P,P,P,P,P,X,X,X,X,P,P,X
P,X,X,X,P,X,P,X,P,P,P,P,P,X,X,X,P,P,P,X
P,X,P,X,P,X,P,X,P,P,P,P,P,X,X,X,P,P,P,P
P,X,P,X,P,X,P,X,P,P,P,P,P,P,X,X,P,P,P,P
P,P,P,X,P,X,P,X,P,P,P,P,P,P,X,X,P,P,P,P
P,P,P,X,P,X,P,X,P,P,P,P,P,P,X,X,P,P,P,P
P,P,P,X,P,X,P,X,P,P,P,P,P,P,X,X,P,P,P,P
P,P,P,X,P,X,P,X,P,P,P,P,P,P,X,P,P,P,P,P
P,P,P,X,P,X,P,X,P,P,P,P,P,P,X,P,X,P,P,P
P,P,P,X,P,X,P,P,P,P,P,P,P,P,X,P,X,P,P,P
P,P,P,X,P,X,P,P,P,P,P,P,P,P,X,P,X,P,P,P
P,P,P,X,P,X,P,P,P,P,P,P,P,P,X,P,X,P,P,P
P,P,P,X,P,X,P,P,P,P,P,P,P,P,X,P,X,P,P,P
P,P,P,X,P,X,P,P,P,P,P,P,P,P,X,P,X,P,P,P
P,P,P,X,P,X,P,P,P,P,P,P,P,P,X,P,X,P,P,P
P,P,P,X,P,X,P,P,P,P,P,P,P,P,X,P,X,P,P,P
P,P,P,X,P,X,P,P,P,P,P,P,P,P,X,P,X,P,P,P
P,P,P,X,P,X,P,P,P,P,P,P,P,P,X,P,X,P,P,P
P,P,P,X,P,X,P,P,P,P,P,P,P,P,X,P,X,P,P,P
P,P,P,X,P,X,P,P,P,P,P,P,P,P,X,P,X,P,P,P
P,P,P,X,P,X,P,P,P,P,P,P,P,P,X,P,P,P,P,P
P,P,P,P,P,P,P,P,P,P,P,P,P,P,X,P,P,P,P,P
P,P,P,P,P,P,P,P,P,P,P,P,P,P,X,P,P,P,P,P
P,P,P,P,M,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P
P,P,P,P,M,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P
P,P,P,P,M,P,P,P,P,P,P,P,P,P,P,P,X,P,P,P
P,P,P,P,M,P,P,P,P,P,P,P,P,M,P,P,X,P,P,P
P,P,P,P,M,P,P,P,P,P,P,P,P,M,P,P,X,P,P,P
P,P,P,P,M,P,P,P,P,P,X,P,P,M,P,P,X,P,P,P
P,P,P,P,M,P,P,P,P,P,X,P,P,M,P,P,X,P,P,P
P,P,P,P,M,P,P,P,P,P,X,P,P,M,P,P,X,P,P,P
P,P,P,P,M,P,P,P,P,P,X,P,P,M,P,P,P,P,P,P
P,P,P,P,M,P,P,P,P,P,X,P,P,M,P,P,P,P,P,P
P,P,P,P,M,P,P,P,P,P,X,P,P,M,X,P,P,P,P,P
P,P,P,P,M,P,P,P,P,P,X,P,P,M,X,P,P,P,P,P
P,P,P,P,M,P,P,P,P,P,X,P,P,X,X,P,P,P,P,P
P,P,P,P,M,P,P,P,P,P,X,P,P,X,X,P,P,P,P,P
P,P,P,P,M,P,P,P,P,P,X,P,P,X,X,P,P,P,P,P
P,P,P,P,M,P,P,P,P,P,P,P,P,X,X,P,P,P,P,P
P,P,P,P,M,P,P,P,P,P,P,P,P,X,X,P,X,P,P,P
P,P,P,P,M,P,P,P,P,P,P,P,P,X,X,P,X,P,P,P
P,P,P,P,P,P,P,P,P,P,P,P,P,X,X,P,X,P,P,P
P,P,P,P,P,P,P,P,P,P,P,P,P,X,X,P,X,P,P,P
P,P,P,P,P,P,P,P,P,P,P,P,P,X,X,P,X,P,P,P
P,P,P,P,P,P,P,P,P,P,P,P,P,X,P,P,X,P,P,P
P,P,P,P,P,P,P,P,P,P,P,P,P,X,P,P,X,P,P,P
P,P,P,P,P,P,P,P,P,P,P,P,P,X,P,P,X,P,P,P
P,P,P,P,P,P,P,P,P,P,P,P,P,X,P,P,P,P,P,P
P,P,P,P,P,P,P,P,P,P,P,P,P,X,P,P,P,P,P,P
P,P,P,P,P,P,P,P,P,P,P,P,P,X,P,P,P,P,P,P
P,P,P,P,P,P,P,P,P,P,P,P,P,X,P,P,P,P,P,P
P,P,P,P,P,P,P,P,P,P,P,P,P,X,P,P,P,P,P,P
P,P,P,P,P,P,P,P,P,P,P,P,P,X,P,P,P,P,P,P
P,P,P,P,P,P,P,P,P,P,P,P,P,X,P,P,P,P,P,P
P,P,P,P,P,P,P,P,P,P,P,P,P,X,P,P,P,P,P,P
P,P,P,P,P,P,M,P,P,P,P,P,P,P,P,P,P,P,P,P
P,P,P,P,P,P,M,P,P,P,P,P,P,P,P,P,P,P,P,P
P,P,P,P,P,P,M,P,P,P,P,P,P,P,X,P,P,P,P,P
P,P,P,P,P,P,M,P,P,P,P,P,P,P,X,P,P,P,P,P
P,P,P,P,P,P,M,P,P,P,P,P,P,P,X,P,P,P,P,P
P,P,P,P,P,P,M,P,P,P,P,P,P,P,X,P,P,P,P,P
P,P,P,P,P,P,M,P,P,P,P,P,P,P,X,P,P,P,P,P
P,P,P,P,P,P,M,P,P,P,P,P,P,P,X,P,P,P,P,P
P,P,P,P,P,P,M,P,P,P,P,P,P,P,X,P,P,P,P,P
P,P,P,P,P,P,M,P,P,P,P,P,P,P,P,P,P,P,P,P
P,P,P,P,P,P,M,P,P,P,P,P,P,P,P,P,X,P,P,P
P,P,P,P,P,P,M,P,P,P,P,P,P,P,P,P,X,P,P,P
P,P,P,P,P,P,M,P,P,P,P,P,P,P,P,P,X,P,P,P
P,P,P,P,P,P,M,P,P,P,P,P,P,P,P,P,X,P,P,P
P,P,P,P,P,P,M,P,P,P,P,P,P,P,P,P,X,P,P,P
P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,X,P,P,P
P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,P,X,P,P,P
P,P,P,P,P,P,P,P,P,P,P,X,P,P,P,P,X,P,P,P
P,P,P,P,P,P,P,P,P,P,P,X,P,P,P,P,X,P,P,P
P,P,P,P,P,P,P,P,P,P,P,X,P,P,P,P,P,P,P,P
P,P,P,P,P,P,P,P,P,P,P,X,P,P,P,P,P,P,P,P
P,P,P,P,P,P,P,P,P,P,P,X,P,P,P,M,P,P,P,P
P,P,P,P,P,P,X,P,P,P,X,X,P,X,P,M,P,P,P,P
P,P,P,P,P,P,X,P,P,P,X,X,P,X,X,M,P,P,P,P
P,P,P,X,P,P,X,P,P,P,X,X,P,X,X,M,P,P,P,P
P,P,P,X,P,P,X,P,P,P,X,X,P,X,X,M,X,P,P,P
P,P,P,X,P,P,X,P,P,P,X,X,P,X,X,M,X,P,P,P
P,P,P,X,P,P,X,P,P,P,X,X,P,X,X,M,X,P,P,P
P,P,P,X,P,P,X,P,P,P,X,X,P,X,X,M,X,P,P,P
P,P,P,X,P,P,X,P,P,P,X,X,P,X,X,M,X,P,P,P
P,P,P,X,P,P,X,P,P,P,X,X,P,X,X,M,X,P,P,P
P,P,P,X,P,P,X,P,P,P,X,X,P,X,X,M,X,P,P,P
P,P,P,X,P,P,X,P,P,P,X,X,P,X,X,M,P,P,P,P
P,P,P,X,P,P,X,P,P,P,X,X,P,X,X,M,P,P,P,P
P,P,P,X,P,P,X,P,P,P,M,X,P,X,X,M,P,P,P,P
P,P,P,X,P,P,X,P,P,P,M,X,P,X,X,M,P,P,P,P
P,P,P,X,P,P,X,P,P,P,M,X,P,X,X,M,P,P,P,P
P,P,P,X,P,P,X,P,P,P,M,X,P,X,X,M,P,P,P,P
P,P,P,X,P,P,X,P,P,P,M,X,P,X,X,M,P,P,P,P
P,P,P,X,P,P,X,P,P,P,M,X,P,X,X,M,X,P,P,P
P,P,P,X,P,P,X,P,P,P,M,X,P,X,X,M,X,P,P,P
P,P,P,X,P,P,X,P,P,P,M,X,P,X,X,M,X,P,P,P
P,X,P,X,P,P,X,P,P,P,X,X,P,X,X,M,X,P,P,P
P,X,P,X,P,P,X,P,P,P,X,X,P,X,X,M,X,P,P,P
P,X,P,X,P,P,P,P,P,P,X,X,P,X,X,M,X,P,P,P
P,X,P,X,P,P,P,P,P,P,X,X,P,X,X,M,X,P,P,P
P,X,P,X,P,P,P,P,P,P,X,X,P,X,X,M,X,P,P,P
P,X,P,X,P,P,P,P,P,P,X,X,P,X,X,M,X,P,P,P
P,X,P,X,M,P,P,P,P,P,X,X,P,X,X,M,X,P,P,P
N,X,P,P,M,P,P,P,P,P,M,X,P,X,X,M,X,P,P,P
N,X,P,P,M,P,P,P,P,P,M,X,P,M,X,M,X,P,P,P
N,X,P,P,M,P,P,P,P,P,M,X,P,M,X,M,X,P,P,P
N,X,P,P,M,P,P,P,P,P,M,X,P,M,X,M,M,P,P,P
N,X,M,P,M,P,P,P,P,P,M,X,P,M,M,M,M,P,P,P
P,P,M,P,M,P,P,P,P,P,M,X,P,M,M,M,M,M,P,P
P,P,M,P,M,P,P,P,P,P,M,X,P,M,M,M,M,M,P,P
P,P,M,P,M,P,P,P,P,P,M,P,P,M,M,M,X,M,P,P
P,P,M,P,X,P,P,P,P,P,M,P,P,M,M,M,X,M,P,P
P,P,M,X,X,P,P,P,P,P,M,P,P,M,M,M,X,M,P,P
P,M,M,X,X,P,P,P,P,P,M,P,P,M,M,M,X,M,P,P
P,M,M,X,X,P,P,P,P,P,M,P,P,M,M,M,X,M,P,P
P,M,M,X,X,P,P,P,P,P,M,P,P,M,M,M,X,M,P,P
P,M,M,X,X,P,M,P,P,P,M,P,P,M,M,M,X,M,P,P
N,M,M,X,X,P,M,P,P,P,M,P,P,M,M,M,X,M,P,P
N,M,M,X,N,P,M,P,P,P,M,P,P,M,M,M,M,M,P,P
N,M,M,X,N,P,M,P,P,P,M,P,P,M,M,M,M,M,P,P
N,M,M,X,N,P,M,P,P,P,M,X,P,M,M,M,M,M,P,P
N,M,M,X,N,P,M,P,P,P,M,X,P,M,M,M,M,M,P,P
P,P,M,N,N,P,M,P,P,P,M,X,P,M,M,M,P,M,P,P
P,P,M,N,M,P,M,P,P,P,M,X,P,M,M,M,P,M,P,P
P,P,M,N,M,P,M,P,P,P,M,X,P,M,M,M,P,M,P,P
P,P,M,N,M,P,M,P,P,P,M,X,P,M,M,M,P,M,P,P
P,P,M,N,M,P,M,P,P,P,M,X,P,M,M,M,P,M,P,P
P,P,M,N,M,P,M,P,P,P,M,X,P,M,M,M,X,M,P,P
P,P,M,M,M,P,M,P,P,P,M,X,P,M,M,M,X,M,P,P
P,P,M,M,M,P,M,P,P,P,M,X,P,M,M,M,X,M,P,P
P,P,M,M,M,P,P,P,P,P,M,X,P,M,M,M,X,M,P,P
P,P,M,M,N,P,P,P,P,P,M,X,P,M,M,M,X,M,P,P
P,P,N,M,N,P,P,P,P,P,N,X,P,M,M,M,X,M,P,P
P,N,N,M,N,P,M,P,P,X,N,X,P,M,M,M,X,M,P,P
P,N,N,M,N,P,M,P,P,X,N,X,P,M,M,N,X,M,P,P
P,N,N,M,N,P,M,P,P,X,N,X,P,M,M,N,X,M,P,P
N,N,N,M,N,P,M,P,P,X,N,X,P,M,M,N,X,M,P,P
N,N,N,M,N,P,M,P,P,X,N,X,P,M,M,N,M,M,P,P
N,N,N,M,N,P,M,P,P,X,N,X,P,M,X,N,M,M,P,P
N,N,N,M,N,P,M,P,P,X,N,X,P,M,X,N,M,M,M,P
N,M,N,M,N,P,M,P,P,X,N,X,P,M,X,N,M,M,M,P
N,M,N,M,N,M,M,P,P,X,N,X,P,M,X,N,M,M,M,P
N,M,N,M,N,M,M,P,P,X,N,X,P,M,X,N,M,M,M,P
N,M,N,M,N,M,M,P,P,X,N,X,P,M,X,N,M,M,M,P
N,M,M,M,N,M,M,P,P,X,N,X,M,M,X,N,M,M,M,P
N,M,M,M,N,M,M,P,P,X,N,X,M,M,X,N,M,M,M,P
M,M,M,M,N,M,M,P,P,X,N,X,M,M,X,N,M,M,M,P
M,M,M,M,N,M,M,P,P,X,N,X,M,M,X,N,M,M,M,P
M,P,M,M,N,M,M,P,P,X,N,X,M,M,X,N,P,M,M,P
M,P,M,M,N,M,M,P,P,X,N,X,M,M,X,N,P,M,M,P
M,P,M,M,N,M,M,P,P,X,N,X,M,M,N,M,P,M,M,P
N,P,M,M,N,M,M,P,P,X,N,X,M,M,N,M,P,M,M,P
N,P,M,M,N,M,M,P,P,X,N,X,M,M,N,M,P,M,M,P
N,P,N,M,N,M,M,P,P,X,N,X,M,N,N,M,M,M,M,P
N,N,N,M,N,M,M,M,P,X,N,X,M,N,N,X,M,M,M,P
N,N,N,M,N,M,M,M,P,X,N,X,M,N,N,X,M,M,M,P
N,N,N,M,N,M,M,M,P,X,N,X,M,N,N,X,M,M,M,P
N,N,N,M,N,M,M,M,P,X,N,X,M,N,N,X,M,M,M,P
N,N,N,M,N,M,M,M,P,X,N,X,M,N,N,X,M,M,M,P
N,N,N,M,N,M,M,M,P,X,N,X,M,N,N,X,M,M,M,P
N,N,N,M,N,M,M,M,P,N,N,X,M,N,N,X,M,M,M,N
N,N,N,M,N,M,M,M,P,N,N,X,M,N,N,X,N,M,M,N
N,N,N,M,N,M,M,M,P,N,N,X,M,N,N,X,N,M,M,N
N,N,N,N,N,M,M,M,P,N,N,X,M,N,N,X,N,M,M,N
N,N,N,N,N,M,M,M,P,N,N,X,M,N,N,X,N,M,M,N
N,N,N,N,N,M,M,M,P,N,N,X,M,N,N,X,N,M,M,N
N,N,N,N,N,M,M,M,P,N,M,X,M,N,N,X,N,M,M,N
N,M,N,N,N,M,M,M,P,N,M,X,M,N,N,X,X,M,M,M
M,M,N,N,N,M,M,M,P,X,M,X,M,N,X,X,X,M,M,M
M,M,N,N,N,M,M,M,P,X,M,X,M,N,X,X,X,M,M,M
M,M,N,N,N,M,M,M,P,X,M,X,M,N,X,X,X,M,M,M
M,M,N,N,N,M,M,M,P,X,M,X,M,N,X,X,X,M,M,M
M,M,N,N,N,M,M,M,P,X,M,X,M,N,X,X,X,M,M,M
M,M,N,N,N,M,M,M,P,X,M,X,M,N,X,X,X,M,M,M
M,M,N,N,N,M,M,M,P,X,M,X,M,N,X,X,X,M,M,M
M,M,N,N,N,M,M,M,P,X,M,X,M,N,X,X,N,M,M,M
M,M,N,N,N,M,M,M,P,X,M,X,M,N,X,X,N,M,M,M
M,M,N,N,N,M,M,M,P,X,M,X,M,N,X,X,N,M,M,M
M,X,N,N,N,M,M,M,P,X,M,X,M,N,X,X,N,M,M,M
M,X,N,N,N,M,M,M,X,X,M,X,M,N,X,X,X,M,M,M
M,X,N,N,N,M,M,M,X,X,M,X,M,N,X,X,X,M,M,M
M,X,N,N,N,M,M,M,X,X,M,X,M,N,X,X,X,M,M,M
M,X,N,N,N,M,M,M,X,X,M,X,M,N,X,X,X,M,M,M
M,X,N,N,N,M,M,M,X,X,M,X,M,N,X,X,X,M,M,M
M,X,N,N,N,M,M,M,X,X,M,X,M,N,X,X,X,M,M,M
M,X,N,N,N,M,M,M,X,X,M,X,M,N,X,M,X,M,M,M
M,N,N,N,N,M,M,M,X,X,M,X,M,N,X,M,X,M,M,M
N,N,N,N,N,M,M,M,X,X,M,X,M,N,X,M,X,M,M,M
N,N,N,N,N,M,M,M,X,X,M,X,M,N,X,M,X,M,M,M
N,N,N,N,N,M,M,M,X,X,M,X,M,N,N,M,X,M,M,M
N,N,N,N,N,M,M,M,X,X,M,X,M,N,N,M,X,M,M,M
N,N,N,N,N,M,M,M,X,X,M,X,M,N,N,M,X,M,M,M
N,N,N,N,N,M,M,M,X,X,M,X,M,N,N,M,X,M,M,M
N,N,N,N,N,M,M,M,X,X,M,X,M,N,N,M,X,M,M,M
N,N,N,N,N,M,M,M,X,X,M,X,M,N,N,M,X,M,M,M
N,N,N,N,N,M,M,M,X,X,M,X,M,N,N,M,X,M,M,N
N,N,N,N,N,M,M,M,X,X,M,X,M,N,N,M,X,M,M,N
N,N,N,N,N,M,M,M,X,X,M,X,M,N,N,M,X,M,M,N
N,N,N,X,N,M,M,M,X,X,M,X,M,N,N,M,X,M,M,N
N,N,N,X,N,M,N,M,X,M,M,X,M,N,N,M,X,M,M,N
N,N,N,X,N,M,N,M,X,M,N,X,M,N,N,M,X,M,M,N
